,DataName,StaticPartner,Material,NominalLoad,H.pressure,MaxLinSpeed,CycleID,SequenceID,SequenceName,Omit,Loaded,CoF.mean,CoF.SMA.mean,CoF.sd,CoF.SMA.sd,NominalLoad.label,MaxLinSpeed.label,H.pressure.label
12666,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,3,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.188295411,1.880342093,0.88538363,0.307249569,10 mN,10 mm/s,0.62 KPa
12667,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,4,1,"Seq.ID: 01
10mN
0.62KPa",N,N,1.736416265,1.742901763,1.002041495,0.449501041,10 mN,10 mm/s,0.62 KPa
12668,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,5,1,"Seq.ID: 01
10mN
0.62KPa",N,N,1.685757936,1.707347982,0.896011382,0.419792482,10 mN,10 mm/s,0.62 KPa
12669,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,6,1,"Seq.ID: 01
10mN
0.62KPa",N,N,1.737769288,1.8406927,0.401592895,0.24364802,10 mN,10 mm/s,0.62 KPa
12670,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,7,1,"Seq.ID: 01
10mN
0.62KPa",N,N,1.906744927,1.850652404,0.816459233,0.243521815,10 mN,10 mm/s,0.62 KPa
12671,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,8,1,"Seq.ID: 01
10mN
0.62KPa",N,N,1.922458835,1.803932691,0.869755688,0.363842619,10 mN,10 mm/s,0.62 KPa
12672,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,9,1,"Seq.ID: 01
10mN
0.62KPa",N,N,1.688815571,1.717370053,1.077997541,0.499632529,10 mN,10 mm/s,0.62 KPa
12673,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,10,1,"Seq.ID: 01
10mN
0.62KPa",N,N,1.864374064,1.797610582,1.107115334,0.450742308,10 mN,10 mm/s,0.62 KPa
12674,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,11,1,"Seq.ID: 01
10mN
0.62KPa",N,N,1.812024239,1.968899143,0.55807225,0.377447665,10 mN,10 mm/s,0.62 KPa
12675,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,12,1,"Seq.ID: 01
10mN
0.62KPa",N,N,1.911071671,1.933037805,0.668913039,0.155153434,10 mN,10 mm/s,0.62 KPa
